project_id,contractor,electricity_iou,gas_iou,weather_normalized_yearly_kwh_savings,weather_normalized_yearly_therm_savings,predicted_yearly_kwh_savings,predicted_yearly_therm_savings
UMS2WV,Contractor 44,Utility 4,Utility 4,0.0,-3.733449508,201.31,3373.095
K9EU4B,Contractor 34,Utility 4,Utility 4,0.0,-153.2872844,200.66,289.8593
7G571Q,Contractor 8,Utility 10,Utility 10,12652.49283,144.3775747,565.19,6448.71
OJMW71,Contractor 9,Utility 4,Utility 4,0.0,25.31611181,554.2,795.4279
Z0RH1I,Contractor 37,Utility 10,Utility 10,610.7826127000001,27.940680800000003,717.18,7266.706
S83Q28,Contractor 17,Utility 4,Utility 4,116.87357820000001,100.2111469,142.82,2105.803
SEHDPS1526388628,Contractor 2,Utility 3,Utility 9,0.0,92.44069469,3522.0,234.0
SEHDPS1526388629,Contractor 2,Utility 3,Utility 9,0.0,-48.785448200000005,2403.0,219.0
SEHDPS1526388158,Contractor 14,Utility 3,Utility 9,1141.430572,101.5590839,4621.0,126.0
VXBW0E,Contractor 45,Utility 4,Utility 4,0.0,0.0,188.6,528.4291
SEHDPS1526388150,Contractor 14,Utility 3,Utility 9,1985.88318,-28.68410904,,
SEHDPS1526388623,Contractor 46,Utility 3,Utility 9,-238.6747537,97.63686066,1964.0,150.0
SEHDPS1526388156,Contractor 14,Utility 3,Utility 9,0.0,19.65235457,,
SEHDPS1526388625,Contractor 2,Utility 3,Utility 9,-259.3842724,21.56453888,1363.0,254.0
SEHDPS1526388626,Contractor 2,Utility 3,Utility 9,0.0,412.0936353,1462.0,143.0
SEHDPS1526388155,Contractor 47,Utility 3,Utility 9,709.4072913,373.3749788,1888.0,50.0
SGHDPS1526142993,Contractor 10,Utility 5,Utility 9,3070.587393,0.0,1710.0,37.0
GAJODI,Contractor 13,Utility 4,Utility 4,105.18268370000001,0.0,628.11,937.5732
0UE0SG,Contractor 12,Utility 4,Utility 4,743.874342,0.0,169.99,443.728
I1WK96,Contractor 1,Utility 4,Utility 4,605.2711857999999,100.41711509999999,336.2,2178.195
SEHDPS1526388109,Contractor 48,Utility 3,Utility 9,-751.9162656000001,0.0,,
PR4DZA,Contractor 12,Utility 4,Utility 4,782.3007406,0.0,1015.13,1823.8570000000002
CRT74F,Contractor 8,Utility 10,Utility 10,621.2531677000001,0.0,510.35,5351.1140000000005
QY4TJC,Contractor 49,Utility 10,Utility 10,750.1692459,0.0,208.69,1533.411
63VG0F,Contractor 3,Utility 4,Utility 4,1714.5735760000002,0.0,153.42,2976.26
MWRNIQ,Contractor 9,Utility 4,Utility 4,519.1519386,0.0,344.54,323.857
SEHDPS1526389002,Contractor 50,Utility 3,Utility 9,0.0,118.6267851,1585.0,207.0
V7CXV5,Contractor 17,Utility 4,Utility 4,1986.560612,563.2722744,175.34,2300.117
SEHDPS1526389004,Contractor 14,Utility 3,Utility 9,-333.6472374,116.35169579999999,6799.0,402.0
SEHDPS1526388534,Contractor 2,Utility 3,Utility 9,0.0,0.0,952.0,49.0
QB0TLK,Contractor 24,Utility 10,Utility 10,218.9548221,0.0,835.65,7640.094
SEHDPS1526389009,Contractor 51,Utility 3,Utility 9,626.5932108,179.32884430000001,7842.0,431.0
SEHDPS1526388537,Contractor 2,Utility 3,Utility 9,0.0,55.17608232,3667.0,355.0
SEHDPS1526388530,Contractor 2,Utility 3,Utility 9,0.0,66.54897443,3640.0,357.0
ZOD53R,Contractor 12,Utility 4,Utility 4,0.0,0.0,646.53,1006.7410000000001
SEHDPS1526388532,Contractor 2,Utility 3,Utility 9,168.5294978,54.60620655,3303.0,247.0
TEWINB,Contractor 52,Utility 4,Utility 4,-674.3533024000001,0.0,,15688.16
VINOP4,Contractor 19,Utility 4,Utility 4,549.9956892000001,-52.58574718,897.13,-2577.96
S96N9K,Contractor 12,Utility 4,Utility 4,-890.0475633,0.0,515.85,620.7503
P7LWUJ,Contractor 13,Utility 4,Utility 4,1649.1668769999999,0.0,226.92,347.5967
KVKIRO,Contractor 8,Utility 10,Utility 10,0.0,87.24432465,344.96,8396.542
1QVIN4,Contractor 8,Utility 10,Utility 10,4361.400949,0.0,319.22,2874.8540000000003
SEHDPS1526388440,Contractor 47,Utility 3,Utility 9,1051.285027,0.0,2050.0,69.0
SEHDPS1526388442,Contractor 6,Utility 3,Utility 9,1823.2800690000001,0.0,227.0,268.0
SEHDPS1526388443,Contractor 53,Utility 3,Utility 9,-125.16378629999998,23.05452269,1305.0,61.0
SEHDPS1526388444,Contractor 51,Utility 3,Utility 9,301.68604320000003,0.0,2178.0,93.0
KZFUQC,Contractor 9,Utility 4,Utility 4,3139.200614,0.0,344.33,4176.436
SEHDPS1526388446,Contractor 54,Utility 3,Utility 12,2935.791636,137.4027383,8060.0,0.0
SEHDPS1526388448,Contractor 47,Utility 3,Utility 9,-135.3163375,138.9513796,3158.0,67.0
XF3XSJ,Contractor 18,Utility 4,Utility 4,-322.3076023,164.1727061,176.37,316.2368
H2DMUF,Contractor 12,Utility 4,Utility 4,0.0,0.0,224.16,333.8218
NXSRFH,Contractor 18,Utility 4,Utility 4,0.0,184.81282109999998,1235.57,2189.9179999999997
PBJWLK,Contractor 13,Utility 4,Utility 4,885.9538875,0.0,275.43,1024.326
9069281964,Contractor 55,Utility 7,Utility 7,3704.678371,0.0,870.0,142.0
SEHDPS1526388848,Contractor 2,Utility 3,Utility 9,4043.412261,0.0,807.0,159.0
EYJ3BJ,Contractor 17,Utility 4,Utility 4,1698.7146899999998,0.0,294.26,2767.8779999999997
SEHDPS1526388845,Contractor 2,Utility 3,Utility 9,161.92109019999998,-59.73809861,174.0,488.0
SEHDPS1526388847,Contractor 2,Utility 3,Utility 9,-3983.4185479999996,0.0,2875.0,163.0
SEHDPS1526388840,Contractor 56,Utility 3,Utility 9,-4359.192383,0.0,5575.0,254.0
SEHDPS1526388841,Contractor 2,Utility 3,Utility 9,-2640.707969,6.7614419660000005,2290.0,345.0
SEHDPS1526388843,Contractor 2,Utility 3,Utility 9,758.6745057,130.9324073,1489.0,250.0
QB1056,Contractor 3,Utility 4,Utility 4,-400.5957338,424.89382029999996,204.09,3016.9990000000003
UZMSFT,Contractor 18,Utility 4,Utility 4,6337.683811999999,-276.038018,322.74,308.3236
Y5NTGE,Contractor 13,Utility 4,Utility 4,0.0,0.0,195.59,245.0176
JRHNMZ,Contractor 9,Utility 4,Utility 4,554.533366,0.0,1015.48,1316.8229999999999
2CAFTD,Contractor 12,Utility 4,Utility 4,1093.2585490000001,-7.044989316000001,118.73,10114.6
9264652903,Contractor 30,Utility 7,Utility 7,2922.870859,0.0,1414.0,60.0
PFPPYJ,Contractor 13,Utility 15,Utility 4,-1571.070137,0.0,380.86,271.9812
SEHDPS1526388588,Contractor 2,Utility 3,Utility 9,7670.653809,0.0,2949.0,216.0
ES4BI8,Contractor 57,Utility 10,Utility 10,958.5829113,0.0,,
NHIABC,Contractor 12,Utility 4,Utility 4,1133.885034,0.0,160.57,231.2427
3M64WE,Contractor 9,Utility 4,Utility 4,-1692.097479,60.06842705,364.0,6859.32
HZN9PV,Contractor 13,Utility 4,Utility 4,-657.4606622,227.40150580000002,487.65,1234.4669999999999
ZSNT1I,Contractor 41,Utility 4,Utility 4,2919.085889,223.6144188,287.92,2844.373
YF39XR,Contractor 18,Utility 4,Utility 4,1421.5820529999999,191.3450168,264.51,415.29900000000004
V6RI7O,Contractor 27,Utility 4,Utility 10,-422.071436,79.19743840000001,,
M2PXZG,Contractor 12,Utility 4,Utility 4,0.0,0.0,145.87,1360.4920000000002
MW9AL9,Contractor 58,Utility 4,Utility 4,-1938.8966480000001,-43.56992429,319.36,4140.68
DYPA8K,Contractor 17,Utility 4,Utility 4,1516.769217,0.0,117.37,935.2286
7VMAN7,Contractor 8,Utility 10,Utility 10,0.0,180.00374240000002,109.55,2098.769
9H96I8,Contractor 24,Utility 10,Utility 10,1614.580598,-19.77517978,187.18,1399.766
1V3X3B,Contractor 24,Utility 10,Utility 10,706.0249719999999,20.12559284,400.96,6986.518
1635614640,Contractor 55,Utility 7,Utility 7,1266.9644119999998,221.18911290000003,2035.0,192.0
8A1HNS,Contractor 9,Utility 4,Utility 4,10461.346520000001,392.44773430000004,154.94,
P3GPXH,Contractor 11,Utility 4,Utility 4,-808.3738686,74.43008123,160.1,964.5369
SEHDPS1526535029,Contractor 59,Utility 3,Utility 9,0.0,0.0,1764.0,134.0
LR0QNG,Contractor 60,Utility 10,Utility 10,-1651.434802,263.5028631,217.85,2084.701
GNNRJF,Contractor 9,Utility 4,Utility 4,0.0,0.0,86.94,86.16646999999999
R8QVOP,Contractor 5,Utility 10,Utility 10,-8018.684590000001,-12.91710201,109.08,3090.27
8NILX7,Contractor 61,Utility 4,Utility 4,0.0,-79.23159697,243.66,1663.54
SKA2AT,Contractor 24,Utility 10,Utility 10,0.0,71.44929515,194.94,2711.02
SEHDPS1526388563,Contractor 62,Utility 3,Utility 9,0.0,90.56977793,4832.0,204.0
9J1UV0,Contractor 8,Utility 10,Utility 10,0.0,0.0,310.61,2018.171
C3ARL1,Contractor 17,Utility 4,Utility 4,-273.4379938,-68.60961904,146.71,4074.736
2CXOAL,Contractor 18,Utility 4,Utility 4,-680.4922696000001,208.387476,254.48,319.1676
V4BZ4B,Contractor 8,Utility 10,Utility 10,1212.312067,0.0,467.17,2745.3109999999997
AXBJL2,Contractor 11,Utility 4,Utility 4,0.0,224.86562090000004,400.79,408.55800000000005
Z5II5I,Contractor 22,Utility 4,Utility 4,-631.2977873,51.83696653,157.37,1169.988
SEHDPS1526382284,Contractor 6,Utility 3,Utility 9,0.0,0.0,1558.0,137.0
G97M4E,Contractor 3,Utility 4,Utility 4,-196.43710159999998,49.88810475,747.82,692.8488
PNIPCP,Contractor 29,Utility 4,Utility 4,0.0,166.48692119999998,230.81,395.9554
YUHL4W,Contractor 63,Utility 4,Utility 4,2706.463921,0.0,465.36,599.0621
SEHDPS1526388548,Contractor 15,Utility 3,Utility 9,0.0,65.84897762,-116.0,133.0
UG8004,Contractor 18,Utility 4,Utility 4,1849.4507449999999,35.97135874,189.6,93.78664
J7HFRO,Contractor 27,Utility 4,Utility 10,-1213.407269,-256.96100809999996,,
TIGKU7,Contractor 41,Utility 4,Utility 4,0.0,117.36185549999999,,3832.9429999999998
SEHDPS1526388584,Contractor 2,Utility 3,Utility 9,10425.68575,134.0185456,2735.0,191.0
A1NBW0,Contractor 17,Utility 4,Utility 4,-883.7083718,40.80717739,135.42,2929.953
WD7G4Q,Contractor 64,Utility 4,Utility 4,5840.670701,0.0,480.79,-4817.116
5649425146,Contractor 55,Utility 7,Utility 7,393.5333467,-79.7354611,2954.0,154.0
DJT3FU,Contractor 17,Utility 10,Utility 10,-726.5970973,52.17994879,121.47,2218.347
SEHDPS1526388569,Contractor 2,Utility 3,Utility 9,-333.292397,146.3002862,4253.0,503.0
SGHDPS1526258337,Contractor 10,Utility 5,Utility 9,-143.0284625,0.0,2808.0,216.0
SGHDPS1526258335,Contractor 10,Utility 5,Utility 9,426.1364124,262.39581680000003,5992.0,202.0
SGHDPS1526258332,Contractor 10,Utility 5,Utility 9,0.0,0.0,4756.0,258.0
SGHDPS1526258330,Contractor 10,Utility 5,Utility 9,9090.004633,0.0,2621.0,92.0
Z3UO2Z,Contractor 8,Utility 10,Utility 10,1256.805225,0.0,465.65,7099.648
SEHDPS1526388400,Contractor 2,Utility 3,Utility 9,-206.1077261,24.24089081,987.0,373.0
ZBMC7V,Contractor 5,Utility 10,Utility 10,-2052.615526,62.6771534,81.52,1152.99
SGHDPS1526258338,Contractor 10,Utility 5,Utility 9,0.0,0.0,881.0,401.0
SGHDPS1526258339,Contractor 10,Utility 5,Utility 9,0.0,252.56235809999998,450.0,187.0
3UF9P1,Contractor 61,Utility 15,Utility 15,802.1475591,0.0,196.41,1014.654
SJXPKD,Contractor 35,Utility 10,Utility 10,0.0,394.10923039999994,101.86,1455.158
84NVMP,Contractor 5,Utility 4,Utility 4,0.0,153.19252509999998,81.27,2393.904
MTH35E,Contractor 65,Utility 10,Utility 10,0.0,93.06028208,742.91,9418.815999999999
E3RCZ8,Contractor 32,Utility 4,Utility 4,0.0,295.6172957,454.22,3495.018
1AKROA,Contractor 17,Utility 15,Utility 15,0.0,161.4961596,134.94,1788.101
K0CL2Y,Contractor 24,Utility 10,Utility 10,-1001.8743519999999,0.0,819.05,4386.87
R5MKFP,Contractor 8,Utility 10,Utility 10,0.0,87.88500657,298.83,4178.781
SGHDPS1525812598,Contractor 10,Utility 11,Utility 9,0.0,-17.72427587,2584.0,184.0
BTB2J0,Contractor 17,Utility 15,Utility 15,0.0,46.03648973,111.48,3027.55
VHFFOW,Contractor 64,Utility 4,Utility 4,0.0,7.1885966,492.0,673.2122
5H4JCU,Contractor 24,Utility 10,Utility 10,0.0,-22.30814791,90.51,1989.4489999999998
J7GV1G,Contractor 44,Utility 4,Utility 4,1349.8401800000001,134.8028837,128.2,1323.271
SG95YG,Contractor 5,Utility 4,Utility 4,0.0,81.7446753,107.96,4736.811
XAA916,Contractor 57,Utility 10,Utility 10,-327.1391553,276.7301397,493.46,4938.16
XV1MZ2,Contractor 44,Utility 4,Utility 4,0.0,0.0,160.1,6637.749
O92TAN,Contractor 40,Utility 4,Utility 4,0.0,0.0,388.36,556.2719999999999
CXSLTV,Contractor 22,Utility 4,Utility 4,0.0,189.28598430000002,356.46,1089.39
Q3BQ47,Contractor 17,Utility 4,Utility 4,0.0,175.6525605,224.35,3306.272
CNAP25,Contractor 18,Utility 4,Utility 4,0.0,153.91852509999998,618.01,730.6565
JIUVDO,Contractor 9,Utility 4,Utility 4,878.2732524,96.81758312,125.54,2627.784
XJU20J,Contractor 24,Utility 10,Utility 10,0.0,84.3106146,529.13,8438.159
SEHDPS1526388705,Contractor 21,Utility 3,Utility 9,227.5489672,23.69095585,,
R0L0LS,Contractor 8,Utility 10,Utility 10,1286.373577,141.97297419999998,709.1,6612.251
SEHDPS1526388701,Contractor 2,Utility 3,Utility 9,0.0,148.7956168,2155.0,235.0
SEHDPS1526388700,Contractor 51,Utility 3,Utility 9,257.8731244,-46.57831422,,
I2UDXY,Contractor 66,Utility 4,Utility 4,326.1598209,47.64110426,614.79,5782.825
DAZ238,Contractor 20,Utility 4,Utility 4,-1006.024109,0.0,83.29,1678.781
SEHDPS1526388709,Contractor 2,Utility 3,Utility 9,1854.027118,33.3721752,1017.0,208.0
Q0OESK,Contractor 9,Utility 4,Utility 4,-205.7167105,-183.8170572,245.16,4514.947
507J2H,Contractor 67,Utility 4,Utility 4,900.1254966,87.1550015,436.78,358.4408
IELOKT,Contractor 31,Utility 4,Utility 4,0.0,111.31319620000001,163.84,965.1231
IBFIG6,Contractor 44,Utility 4,Utility 4,-174.54125109999998,0.0,130.46,2184.349
7GC6PL,Contractor 3,Utility 4,Utility 4,0.0,0.0,674.42,4405.627
0L4SF7,Contractor 9,Utility 4,Utility 4,195.2924291,0.0,366.82,319.4607
NWX2TS,Contractor 8,Utility 10,Utility 10,783.7062791000001,0.0,449.83,3591.735
SEHDPS1526388794,Contractor 2,Utility 3,Utility 9,1580.077884,140.6697341,754.0,152.0
E2OTKI,Contractor 20,Utility 15,Utility 15,311.8910065,117.85928490000002,198.39,3595.252
28A1LG,Contractor 35,Utility 10,Utility 10,438.3929679,0.0,1041.6,6442.556
SEHDPS1526455395,Contractor 2,Utility 3,Utility 9,46.52212856,136.3358427,1914.0,256.0
P7J48E,Contractor 1,Utility 4,Utility 4,-957.9214867000001,-32.76893925,304.23,4523.447
B0FK15,Contractor 18,Utility 4,Utility 4,-211.40778959999997,-6.510855761,211.87,492.0868
FCSMGG,Contractor 20,Utility 15,Utility 15,3955.4449649999997,-104.3414426,350.09,4686.108
SEHDPS1526388964,Contractor 2,Utility 3,Utility 9,5526.476476,-251.0456029,1185.0,172.0
LBTCJA,Contractor 8,Utility 10,Utility 10,387.0386382,231.89025299999997,302.1,6170.281
FCGZID,Contractor 17,Utility 4,Utility 4,0.0,119.8780375,644.38,10893.32
VPMBT4,Contractor 17,Utility 15,Utility 15,1236.554225,0.0,133.39,1974.5020000000002
XVNDCQ,Contractor 13,Utility 4,Utility 4,0.0,117.25353590000002,294.85,188.4525
NDQV3M,Contractor 12,Utility 4,Utility 4,0.0,434.8400553999999,602.98,1283.411
4KP4Y7,Contractor 11,Utility 4,Utility 4,705.439987,0.0,760.07,1092.907
22C05P,Contractor 18,Utility 4,Utility 4,0.0,0.0,483.09,2797.4790000000003
QHWZEY,Contractor 44,Utility 4,Utility 4,737.2947656,105.17345759999999,168.12,1810.082
SEHDPS1526388639,Contractor 2,Utility 3,Utility 9,0.0,139.82668049999998,1231.0,242.0
SEHDPS1526388638,Contractor 47,Utility 3,Utility 9,1234.8532619999999,0.0,3156.0,248.0
SEHDPS1526388149,Contractor 14,Utility 3,Utility 9,0.0,37.75668482,,
DKIDMD,Contractor 8,Utility 10,Utility 10,442.9198262,220.6078162,613.44,4300.997
SEHDPS1526388145,Contractor 14,Utility 3,Utility 9,0.0,32.21816741,,
SEHDPS1526388632,Contractor 14,Utility 3,Utility 9,-766.3370064,-294.27839900000004,5452.0,153.0
SEHDPS1526388631,Contractor 68,Utility 3,Utility 9,-784.4294796,-206.2476115,254.0,149.0
NKQKFN,Contractor 17,Utility 4,Utility 4,11881.412479999999,655.6022626,503.37,7410.023
SEHDPS1526388141,Contractor 14,Utility 3,Utility 9,2634.17082,-18.99138305,,
SEHDPS1526388636,Contractor 2,Utility 3,Utility 9,1646.0447880000002,52.61807048,1201.0,141.0
SEHDPS1526388635,Contractor 2,Utility 3,Utility 9,-498.8981034,0.0,2097.0,213.0
SEHDPS1526388634,Contractor 2,Utility 3,Utility 9,1298.106331,0.0,,
7CN3TA,Contractor 65,Utility 10,Utility 10,1704.7313550000001,0.0,307.15,5577.96
6KL3UF,Contractor 40,Utility 4,Utility 4,0.0,0.0,278.28,602.2861
KAKCIG,Contractor 9,Utility 4,Utility 4,3177.370022,0.0,247.79,12151.23
8XBUU9,Contractor 13,Utility 4,Utility 4,682.3673531000001,0.0,275.3,-646.5416
MRUHXG,Contractor 45,Utility 4,Utility 4,3317.736607,0.0,87.37,-2.0515830000000004
JFP62J,Contractor 18,Utility 4,Utility 4,513.4616533,224.8868087,277.52,220.3986
SD34XR,Contractor 9,Utility 4,Utility 4,148.1317257,0.0,419.99,327.374
Z4ZAYM,Contractor 13,Utility 4,Utility 4,1525.792158,0.0,341.55,2337.632
4DT6NX,Contractor 1,Utility 4,Utility 4,668.4855964999999,0.0,391.66,3014.6540000000005
SEHDPS1526388525,Contractor 2,Utility 3,Utility 9,2594.9552559999997,0.0,1807.0,168.0
IO423J,Contractor 5,Utility 15,Utility 15,0.0,-8.341286013,108.56,2514.361
SEHDPS1526388523,Contractor 2,Utility 3,Utility 9,-2156.937151,-119.36223899999999,6232.0,327.0
8EP3JP,Contractor 19,Utility 4,Utility 4,1499.282105,198.14909219999998,325.17,3009.672
